TeamID,prob_R64,prob_R32,prob_S16,prob_E8,prob_F4,prob_NCG,prob_Champion,Seed,SeedNum,TeamName
1374,0.49869,0.1922,0.07398,0.03334,0.01174,0.00429,0.00144,Y11b,11,SMU
1314,1.0,0.46511,0.19302,0.0634,0.02064,0.00629,0.00143,X06,6,North Carolina
1274,1.0,0.64131,0.23191,0.09025,0.01882,0.00585,0.00139,Z07,7,Miami FL
1234,1.0,0.42741,0.12958,0.04915,0.01457,0.00446,0.00109,X09,9,Iowa
1429,1.0,0.5726,0.13265,0.04114,0.01531,0.00505,0.00101,Z09,9,Utah St
1220,1.0,0.35917,0.13198,0.04379,0.0134,0.00374,0.0009,Y13,13,Hofstra
1387,1.0,0.40551,0.12067,0.03995,0.01332,0.00345,0.00087,Y09,9,St Louis
1378,1.0,0.45294,0.16434,0.05689,0.01564,0.00398,0.00084,W11,11,South Florida
1320,1.0,0.39271,0.13008,0.03916,0.01267,0.00317,0.00083,W12,12,Northern Iowa
1270,1.0,0.37587,0.15339,0.0416,0.01188,0.00298,0.00073,X12,12,McNeese St
1437,1.0,0.4274,0.10077,0.03025,0.01149,0.00323,0.00071,Z08,8,Villanova
1401,1.0,0.38478,0.12247,0.04213,0.01152,0.00281,0.00069,X10,10,Texas A&M
1219,1.0,0.38021,0.1109,0.02404,0.00814,0.0025,0.00067,Z12,12,High Point
1281,1.0,0.35869,0.12913,0.04744,0.01033,0.00266,0.00062,Z10,10,Missouri
1254,1.0,0.18747,0.06597,0.02227,0.00775,0.00247,0.00058,Z16,16,LIU Brooklyn
1395,1.0,0.33986,0.09885,0.03185,0.00979,0.00237,0.00047,W09,9,TCU
1275,0.50131,0.21703,0.09302,0.02746,0.00919,0.00234,0.00046,Y11a,11,Miami OH
1373,1.0,0.18513,0.06173,0.0222,0.00725,0.00186,0.00045,W16,16,Siena
1335,1.0,0.31016,0.10335,0.02577,0.00622,0.00159,0.0004,X14,14,Penn
1398,1.0,0.25705,0.07222,0.02157,0.00538,0.00121,0.00033,Y15,15,Tennessee St
1218,1.0,0.34251,0.09884,0.01939,0.00516,0.00142,0.00031,Z13,13,Hawaii
1295,1.0,0.30301,0.09478,0.02699,0.00608,0.00144,0.00028,W14,14,N Dakota St
1460,1.0,0.31443,0.08478,0.0227,0.00583,0.00112,0.00021,Y14,14,Wright St
1225,1.0,0.24555,0.07473,0.01917,0.00425,0.00098,0.0002,X15,15,Idaho
1224,1.0,0.23256,0.05015,0.01024,0.00299,0.00066,0.00015,Y16,16,Howard
1244,1.0,0.3118,0.0714,0.02129,0.00374,0.00109,0.00013,Z14,14,Kennesaw
1202,1.0,0.24896,0.05181,0.01331,0.00321,0.0008,0.00011,W15,15,Furman
1250,0.57592,0.09311,0.02393,0.0067,0.0021,0.00057,9e-05,X16a,16,Lehigh
1465,1.0,0.34374,0.09576,0.01658,0.00331,0.00076,9e-05,W13,13,Cal Baptist
1341,0.42408,0.06923,0.01223,0.0034,0.00069,0.00014,2e-05,X16b,16,Prairie View
