Season,TeamName,TeamID,Seed,Wins,Record,Deepest Round
2014,Arizona St,1113,10,0,0-1,R64 Exit
2018,Arizona St,1113,11,0,0-1,R64 Exit
2019,Arizona St,1113,11,1,1-1,Round of 32
2023,Arizona St,1113,11,1,1-1,Round of 32
2011,Ark Little Rock,1114,16,0,0-1,R64 Exit
2016,Ark Little Rock,1114,12,1,1-1,Round of 32
2010,Ark Pine Bluff,1115,16,1,1-1,Round of 32
2006,Arkansas,1116,8,0,0-1,R64 Exit
2007,Arkansas,1116,12,0,0-1,R64 Exit
2008,Arkansas,1116,9,1,1-1,Round of 32
2015,Arkansas,1116,5,1,1-1,Round of 32
2017,Arkansas,1116,8,1,1-1,Round of 32
2018,Arkansas,1116,7,0,0-1,R64 Exit
2021,Arkansas,1116,3,3,3-1,Elite Eight
2022,Arkansas,1116,4,3,3-1,Elite Eight
2023,Arkansas,1116,8,2,2-1,Sweet 16
2025,Arkansas,1116,10,2,2-1,Sweet 16
2003,Auburn,1120,10,2,2-1,Sweet 16
2018,Auburn,1120,4,1,1-1,Round of 32
2019,Auburn,1120,5,4,4-1,Final Four
2022,Auburn,1120,2,1,1-1,Round of 32
2023,Auburn,1120,9,1,1-1,Round of 32
2024,Auburn,1120,4,0,0-1,R64 Exit
2025,Auburn,1120,1,4,4-1,Final Four
2003,Austin Peay,1122,13,0,0-1,R64 Exit
2008,Austin Peay,1122,15,0,0-1,R64 Exit
2016,Austin Peay,1122,16,0,0-1,R64 Exit
2003,BYU,1140,12,0,0-1,R64 Exit
2004,BYU,1140,12,0,0-1,R64 Exit
2007,BYU,1140,8,0,0-1,R64 Exit
2008,BYU,1140,8,0,0-1,R64 Exit
2009,BYU,1140,8,0,0-1,R64 Exit
2010,BYU,1140,7,1,1-1,Round of 32
2011,BYU,1140,3,2,2-1,Sweet 16
2012,BYU,1140,14,1,1-1,Round of 32
2014,BYU,1140,10,0,0-1,R64 Exit
2015,BYU,1140,11,0,0-1,R64 Exit
2021,BYU,1140,6,0,0-1,R64 Exit
2024,BYU,1140,6,0,0-1,R64 Exit
2025,BYU,1140,6,2,2-1,Sweet 16
2008,Baylor,1124,11,0,0-1,R64 Exit
2010,Baylor,1124,3,3,3-1,Elite Eight
2012,Baylor,1124,3,3,3-1,Elite Eight
2014,Baylor,1124,6,2,2-1,Sweet 16
2015,Baylor,1124,3,0,0-1,R64 Exit
2016,Baylor,1124,5,0,0-1,R64 Exit
2017,Baylor,1124,3,2,2-1,Sweet 16
2019,Baylor,1124,9,1,1-1,Round of 32
2021,Baylor,1124,1,6,6-0,Champion
2022,Baylor,1124,1,1,1-1,Round of 32
2023,Baylor,1124,3,1,1-1,Round of 32
2024,Baylor,1124,3,1,1-1,Round of 32
2025,Baylor,1124,9,1,1-1,Round of 32
2006,Belmont,1125,15,0,0-1,R64 Exit
2007,Belmont,1125,15,0,0-1,R64 Exit
2008,Belmont,1125,15,0,0-1,R64 Exit
2011,Belmont,1125,13,0,0-1,R64 Exit
2012,Belmont,1125,14,0,0-1,R64 Exit
2013,Belmont,1125,11,0,0-1,R64 Exit
2015,Belmont,1125,15,0,0-1,R64 Exit
2019,Belmont,1125,11,1,1-1,Round of 32
2009,Binghamton,1127,15,0,0-1,R64 Exit
2008,Boise St,1129,14,0,0-1,R64 Exit
2013,Boise St,1129,13,0,0-1,R64 Exit
2015,Boise St,1129,11,0,0-1,R64 Exit
2022,Boise St,1129,8,0,0-1,R64 Exit
2023,Boise St,1129,10,0,0-1,R64 Exit
2024,Boise St,1129,10,0,0-1,R64 Exit
2004,Boston College,1130,6,1,1-1,Round of 32
2005,Boston College,1130,4,1,1-1,Round of 32
2006,Boston College,1130,4,2,2-1,Sweet 16
2007,Boston College,1130,7,1,1-1,Round of 32
2009,Boston College,1130,7,0,0-1,R64 Exit
2011,Boston Univ,1131,16,0,0-1,R64 Exit
2006,Bradley,1133,13,2,2-1,Sweet 16
2019,Bradley,1133,15,0,0-1,R64 Exit
2022,Bryant,1136,16,0,0-1,R64 Exit
2025,Bryant,1136,15,0,0-1,R64 Exit
2005,Bucknell,1137,14,1,1-1,Round of 32
2006,Bucknell,1137,9,1,1-1,Round of 32
2011,Bucknell,1137,14,0,0-1,R64 Exit
2013,Bucknell,1137,11,0,0-1,R64 Exit
2017,Bucknell,1137,13,0,0-1,R64 Exit
2018,Bucknell,1137,14,0,0-1,R64 Exit
2015,Buffalo,1138,12,0,0-1,R64 Exit
2016,Buffalo,1138,14,0,0-1,R64 Exit
2018,Buffalo,1138,13,1,1-1,Round of 32
2019,Buffalo,1138,6,1,1-1,Round of 32
2003,Butler,1139,12,2,2-1,Sweet 16
2007,Butler,1139,5,2,2-1,Sweet 16
2008,Butler,1139,7,1,1-1,Round of 32
2009,Butler,1139,9,0,0-1,R64 Exit
2010,Butler,1139,5,5,5-1,NCG
2011,Butler,1139,8,5,5-1,NCG
2013,Butler,1139,6,1,1-1,Round of 32
2015,Butler,1139,6,1,1-1,Round of 32
2016,Butler,1139,9,1,1-1,Round of 32
2017,Butler,1139,4,2,2-1,Sweet 16
2018,Butler,1139,10,1,1-1,Round of 32
2003,C Michigan,1141,11,1,1-1,Round of 32
2016,CS Bakersfield,1167,15,0,0-1,R64 Exit
2008,CS Fullerton,1168,14,0,0-1,R64 Exit
2018,CS Fullerton,1168,15,0,0-1,R64 Exit
2022,CS Fullerton,1168,15,0,0-1,R64 Exit
2009,CS Northridge,1169,15,0,0-1,R64 Exit
2014,Cal Poly,1142,16,1,1-1,Round of 32
2003,California,1143,8,1,1-1,Round of 32
2006,California,1143,7,0,0-1,R64 Exit
2009,California,1143,7,0,0-1,R64 Exit
2010,California,1143,8,1,1-1,Round of 32
2012,California,1143,12,0,0-1,R64 Exit
2013,California,1143,12,1,1-1,Round of 32
2016,California,1143,4,0,0-1,R64 Exit
2007,Central Conn,1148,16,0,0-1,R64 Exit
2004,Charlotte,1150,9,0,0-1,R64 Exit
2005,Charlotte,1150,7,0,0-1,R64 Exit
2005,Chattanooga,1151,15,0,0-1,R64 Exit
2009,Chattanooga,1151,16,0,0-1,R64 Exit
2016,Chattanooga,1151,12,0,0-1,R64 Exit
2022,Chattanooga,1151,13,0,0-1,R64 Exit
2003,Cincinnati,1153,8,0,0-1,R64 Exit
2004,Cincinnati,1153,4,1,1-1,Round of 32
2005,Cincinnati,1153,7,1,1-1,Round of 32
2011,Cincinnati,1153,6,1,1-1,Round of 32
2012,Cincinnati,1153,6,2,2-1,Sweet 16
2013,Cincinnati,1153,10,0,0-1,R64 Exit
2014,Cincinnati,1153,5,0,0-1,R64 Exit
2015,Cincinnati,1153,8,1,1-1,Round of 32
2016,Cincinnati,1153,9,0,0-1,R64 Exit
2017,Cincinnati,1153,6,1,1-1,Round of 32
2018,Cincinnati,1153,2,1,1-1,Round of 32
2019,Cincinnati,1153,7,0,0-1,R64 Exit
2008,Clemson,1155,5,0,0-1,R64 Exit
2009,Clemson,1155,7,0,0-1,R64 Exit
2010,Clemson,1155,7,0,0-1,R64 Exit
2011,Clemson,1155,12,1,1-1,Round of 32
2018,Clemson,1155,5,2,2-1,Sweet 16
2021,Clemson,1155,7,0,0-1,R64 Exit
2024,Clemson,1155,6,3,3-1,Elite Eight
2025,Clemson,1155,5,0,0-1,R64 Exit
2009,Cleveland St,1156,13,1,1-1,Round of 32
2021,Cleveland St,1156,15,0,0-1,R64 Exit
2014,Coastal Car,1157,16,0,0-1,R64 Exit
2015,Coastal Car,1157,16,0,0-1,R64 Exit
2018,Col Charleston,1158,13,0,0-1,R64 Exit
2023,Col Charleston,1158,12,0,0-1,R64 Exit
2024,Col Charleston,1158,13,0,0-1,R64 Exit
2019,Colgate,1159,15,0,0-1,R64 Exit
2021,Colgate,1159,14,0,0-1,R64 Exit
2022,Colgate,1159,14,0,0-1,R64 Exit
2023,Colgate,1159,15,0,0-1,R64 Exit
2024,Colgate,1159,14,0,0-1,R64 Exit
2003,Colorado,1160,10,0,0-1,R64 Exit
2012,Colorado,1160,11,1,1-1,Round of 32
2013,Colorado,1160,10,0,0-1,R64 Exit
2014,Colorado,1160,8,0,0-1,R64 Exit
2016,Colorado,1160,8,0,0-1,R64 Exit
2021,Colorado,1160,5,1,1-1,Round of 32
2024,Colorado,1160,10,2,2-1,Sweet 16
2003,Colorado St,1161,14,0,0-1,R64 Exit
2012,Colorado St,1161,11,0,0-1,R64 Exit
2013,Colorado St,1161,8,1,1-1,Round of 32
2022,Colorado St,1161,6,0,0-1,R64 Exit
2024,Colorado St,1161,10,1,1-1,Round of 32
2025,Colorado St,1161,12,1,1-1,Round of 32
2003,Connecticut,1163,5,2,2-1,Sweet 16
2004,Connecticut,1163,2,6,6-0,Champion
2005,Connecticut,1163,2,1,1-1,Round of 32
2006,Connecticut,1163,1,3,3-1,Elite Eight
2008,Connecticut,1163,4,0,0-1,R64 Exit
2009,Connecticut,1163,1,4,4-1,Final Four
2011,Connecticut,1163,3,6,6-0,Champion
2012,Connecticut,1163,9,0,0-1,R64 Exit
2014,Connecticut,1163,7,6,6-0,Champion
2016,Connecticut,1163,9,1,1-1,Round of 32
2021,Connecticut,1163,7,0,0-1,R64 Exit
2022,Connecticut,1163,5,0,0-1,R64 Exit
2023,Connecticut,1163,4,6,6-0,Champion
2024,Connecticut,1163,1,6,6-0,Champion
2025,Connecticut,1163,8,1,1-1,Round of 32
2008,Coppin St,1164,16,0,0-1,R64 Exit
2008,Cornell,1165,14,0,0-1,R64 Exit
2009,Cornell,1165,14,0,0-1,R64 Exit
2010,Cornell,1165,12,2,2-1,Sweet 16
2003,Creighton,1166,6,0,0-1,R64 Exit
2005,Creighton,1166,10,0,0-1,R64 Exit
2007,Creighton,1166,10,0,0-1,R64 Exit
2012,Creighton,1166,8,1,1-1,Round of 32
2013,Creighton,1166,7,1,1-1,Round of 32
2014,Creighton,1166,3,1,1-1,Round of 32
2017,Creighton,1166,6,0,0-1,R64 Exit
2018,Creighton,1166,8,0,0-1,R64 Exit
2021,Creighton,1166,5,2,2-1,Sweet 16
2022,Creighton,1166,9,1,1-1,Round of 32
2023,Creighton,1166,6,3,3-1,Elite Eight
2024,Creighton,1166,3,2,2-1,Sweet 16
2025,Creighton,1166,9,1,1-1,Round of 32
2006,Davidson,1172,15,0,0-1,R64 Exit
2007,Davidson,1172,13,0,0-1,R64 Exit
2008,Davidson,1172,10,3,3-1,Elite Eight
2012,Davidson,1172,13,0,0-1,R64 Exit
2013,Davidson,1172,14,0,0-1,R64 Exit
2015,Davidson,1172,10,0,0-1,R64 Exit
2018,Davidson,1172,12,0,0-1,R64 Exit
2022,Davidson,1172,10,0,0-1,R64 Exit
2003,Dayton,1173,4,0,0-1,R64 Exit
2004,Dayton,1173,10,0,0-1,R64 Exit
2009,Dayton,1173,11,1,1-1,Round of 32
2014,Dayton,1173,11,3,3-1,Elite Eight
2015,Dayton,1173,11,2,2-1,Sweet 16
2016,Dayton,1173,7,0,0-1,R64 Exit
2017,Dayton,1173,7,0,0-1,R64 Exit
2024,Dayton,1173,7,1,1-1,Round of 32
2004,DePaul,1177,7,1,1-1,Round of 32
2014,Delaware,1174,13,0,0-1,R64 Exit
2022,Delaware,1174,15,0,0-1,R64 Exit
2005,Delaware St,1175,16,0,0-1,R64 Exit
2012,Detroit,1178,15,0,0-1,R64 Exit
2008,Drake,1179,5,0,0-1,R64 Exit
2021,Drake,1179,11,1,1-1,Round of 32
2023,Drake,1179,12,0,0-1,R64 Exit
2024,Drake,1179,10,0,0-1,R64 Exit
2025,Drake,1179,11,1,1-1,Round of 32
2021,Drexel,1180,16,0,0-1,R64 Exit
2003,Duke,1181,3,2,2-1,Sweet 16
2004,Duke,1181,1,4,4-1,Final Four
2005,Duke,1181,1,2,2-1,Sweet 16
2006,Duke,1181,1,2,2-1,Sweet 16
2007,Duke,1181,6,0,0-1,R64 Exit
2008,Duke,1181,2,1,1-1,Round of 32
2009,Duke,1181,2,2,2-1,Sweet 16
2010,Duke,1181,1,6,6-0,Champion
2011,Duke,1181,1,2,2-1,Sweet 16
2012,Duke,1181,2,0,0-1,R64 Exit
2013,Duke,1181,2,3,3-1,Elite Eight
2014,Duke,1181,3,0,0-1,R64 Exit
2015,Duke,1181,1,6,6-0,Champion
2016,Duke,1181,4,2,2-1,Sweet 16
2017,Duke,1181,2,1,1-1,Round of 32
2018,Duke,1181,2,3,3-1,Elite Eight
2019,Duke,1181,1,3,3-1,Elite Eight
2022,Duke,1181,2,4,4-1,Final Four
2023,Duke,1181,5,1,1-1,Round of 32
2024,Duke,1181,4,3,3-1,Elite Eight
2025,Duke,1181,1,4,4-1,Final Four
2024,Duquesne,1182,11,1,1-1,Round of 32
2005,E Kentucky,1184,15,0,0-1,R64 Exit
2007,E Kentucky,1184,16,0,0-1,R64 Exit
2014,E Kentucky,1184,15,0,0-1,R64 Exit
2004,E Washington,1186,15,0,0-1,R64 Exit
2015,E Washington,1186,13,0,0-1,R64 Exit
2021,E Washington,1186,14,0,0-1,R64 Exit
2003,ETSU,1190,15,0,0-1,R64 Exit
2004,ETSU,1190,13,0,0-1,R64 Exit
2009,ETSU,1190,16,0,0-1,R64 Exit
2010,ETSU,1190,16,0,0-1,R64 Exit
2017,ETSU,1190,13,0,0-1,R64 Exit
2005,F Dickinson,1192,16,0,0-1,R64 Exit
2016,F Dickinson,1192,16,0,0-1,R64 Exit
2019,F Dickinson,1192,16,1,1-1,Round of 32
2023,F Dickinson,1192,16,2,2-1,Sweet 16
2013,FGCU,1195,15,2,2-1,Sweet 16
2016,FGCU,1195,16,1,1-1,Round of 32
2017,FGCU,1195,14,0,0-1,R64 Exit
2023,FL Atlantic,1194,9,4,4-1,Final Four
2024,FL Atlantic,1194,8,0,0-1,R64 Exit
2003,Florida,1196,2,1,1-1,Round of 32
2004,Florida,1196,5,0,0-1,R64 Exit
2005,Florida,1196,4,1,1-1,Round of 32
2006,Florida,1196,3,6,6-0,Champion
2007,Florida,1196,1,6,6-0,Champion
2010,Florida,1196,10,0,0-1,R64 Exit
2011,Florida,1196,2,3,3-1,Elite Eight
2012,Florida,1196,7,3,3-1,Elite Eight
2013,Florida,1196,3,3,3-1,Elite Eight
2014,Florida,1196,1,4,4-1,Final Four
2017,Florida,1196,4,3,3-1,Elite Eight
2018,Florida,1196,6,1,1-1,Round of 32
2019,Florida,1196,10,1,1-1,Round of 32
2021,Florida,1196,7,1,1-1,Round of 32
2024,Florida,1196,7,0,0-1,R64 Exit
2025,Florida,1196,1,6,6-0,Champion
2004,Florida A&M,1197,16,1,1-1,Round of 32
2007,Florida A&M,1197,16,0,0-1,R64 Exit
2009,Florida St,1199,5,0,0-1,R64 Exit
2010,Florida St,1199,9,0,0-1,R64 Exit
2011,Florida St,1199,10,2,2-1,Sweet 16
2012,Florida St,1199,3,1,1-1,Round of 32
2017,Florida St,1199,3,1,1-1,Round of 32
2018,Florida St,1199,9,3,3-1,Elite Eight
2019,Florida St,1199,4,2,2-1,Sweet 16
2021,Florida St,1199,4,2,2-1,Sweet 16
2016,Fresno St,1201,14,0,0-1,R64 Exit
2023,Furman,1202,13,1,1-1,Round of 32
2005,G Washington,1203,12,0,0-1,R64 Exit
2006,G Washington,1203,8,1,1-1,Round of 32
2007,G Washington,1203,11,0,0-1,R64 Exit
2014,G Washington,1203,9,0,0-1,R64 Exit
2019,Gardner Webb,1205,16,0,0-1,R64 Exit
2006,George Mason,1206,11,4,4-1,Final Four
2008,George Mason,1206,12,0,0-1,R64 Exit
2011,George Mason,1206,8,1,1-1,Round of 32
2006,Georgetown,1207,7,2,2-1,Sweet 16
2007,Georgetown,1207,2,4,4-1,Final Four
2008,Georgetown,1207,2,1,1-1,Round of 32
2010,Georgetown,1207,3,0,0-1,R64 Exit
2011,Georgetown,1207,6,0,0-1,R64 Exit
2012,Georgetown,1207,3,1,1-1,Round of 32
2013,Georgetown,1207,2,0,0-1,R64 Exit
2015,Georgetown,1207,4,1,1-1,Round of 32
2021,Georgetown,1207,12,0,0-1,R64 Exit
2008,Georgia,1208,14,0,0-1,R64 Exit
2011,Georgia,1208,10,0,0-1,R64 Exit
2015,Georgia,1208,10,0,0-1,R64 Exit
2025,Georgia,1208,9,0,0-1,R64 Exit
2015,Georgia St,1209,14,1,1-1,Round of 32
2018,Georgia St,1209,15,0,0-1,R64 Exit
2019,Georgia St,1209,14,0,0-1,R64 Exit
2022,Georgia St,1209,16,0,0-1,R64 Exit
2004,Georgia Tech,1210,3,5,5-1,NCG
2005,Georgia Tech,1210,5,1,1-1,Round of 32
2007,Georgia Tech,1210,10,0,0-1,R64 Exit
2010,Georgia Tech,1210,10,1,1-1,Round of 32
2021,Georgia Tech,1210,9,0,0-1,R64 Exit
2003,Gonzaga,1211,9,1,1-1,Round of 32
2004,Gonzaga,1211,2,1,1-1,Round of 32
2005,Gonzaga,1211,3,1,1-1,Round of 32
2006,Gonzaga,1211,3,2,2-1,Sweet 16
2007,Gonzaga,1211,10,0,0-1,R64 Exit
2008,Gonzaga,1211,7,0,0-1,R64 Exit
2009,Gonzaga,1211,4,2,2-1,Sweet 16
2010,Gonzaga,1211,8,1,1-1,Round of 32
2011,Gonzaga,1211,11,1,1-1,Round of 32
2012,Gonzaga,1211,7,1,1-1,Round of 32
2013,Gonzaga,1211,1,1,1-1,Round of 32
2014,Gonzaga,1211,8,1,1-1,Round of 32
2015,Gonzaga,1211,2,3,3-1,Elite Eight
2016,Gonzaga,1211,11,2,2-1,Sweet 16
2017,Gonzaga,1211,1,5,5-1,NCG
2018,Gonzaga,1211,4,2,2-1,Sweet 16
2019,Gonzaga,1211,1,3,3-1,Elite Eight
2021,Gonzaga,1211,1,5,5-1,NCG
2022,Gonzaga,1211,1,2,2-1,Sweet 16
2023,Gonzaga,1211,3,3,3-1,Elite Eight
2024,Gonzaga,1211,5,2,2-1,Sweet 16
2025,Gonzaga,1211,8,1,1-1,Round of 32
2024,Grambling,1212,16,1,1-1,Round of 32
2021,Grand Canyon,1213,15,0,0-1,R64 Exit
2023,Grand Canyon,1213,14,0,0-1,R64 Exit
2024,Grand Canyon,1213,12,1,1-1,Round of 32
2025,Grand Canyon,1213,13,0,0-1,R64 Exit
2006,Hampton,1214,16,0,0-1,R64 Exit
2011,Hampton,1214,16,0,0-1,R64 Exit
2015,Hampton,1214,16,1,1-1,Round of 32
2016,Hampton,1214,16,0,0-1,R64 Exit
2021,Hartford,1216,16,0,0-1,R64 Exit
2012,Harvard,1217,12,0,0-1,R64 Exit
2013,Harvard,1217,14,1,1-1,Round of 32
2014,Harvard,1217,12,1,1-1,Round of 32
2015,Harvard,1217,13,0,0-1,R64 Exit
2016,Hawaii,1218,13,1,1-1,Round of 32
2025,High Point,1219,13,0,0-1,R64 Exit
2003,Holy Cross,1221,14,0,0-1,R64 Exit
2007,Holy Cross,1221,13,0,0-1,R64 Exit
2016,Holy Cross,1221,16,1,1-1,Round of 32
2010,Houston,1222,13,0,0-1,R64 Exit
2018,Houston,1222,6,1,1-1,Round of 32
2019,Houston,1222,3,2,2-1,Sweet 16
2021,Houston,1222,2,4,4-1,Final Four
2022,Houston,1222,5,3,3-1,Elite Eight
2023,Houston,1222,1,2,2-1,Sweet 16
2024,Houston,1222,1,2,2-1,Sweet 16
2025,Houston,1222,1,5,5-1,NCG
2023,Howard,1224,16,0,0-1,R64 Exit
2024,Howard,1224,16,0,0-1,R64 Exit
2004,IL Chicago,1227,13,0,0-1,R64 Exit
2003,IUPUI,1237,16,0,0-1,R64 Exit
2003,Illinois,1228,4,1,1-1,Round of 32
2004,Illinois,1228,5,2,2-1,Sweet 16
2005,Illinois,1228,1,5,5-1,NCG
2006,Illinois,1228,4,1,1-1,Round of 32
2007,Illinois,1228,12,0,0-1,R64 Exit
2009,Illinois,1228,5,0,0-1,R64 Exit
2011,Illinois,1228,9,1,1-1,Round of 32
2013,Illinois,1228,7,1,1-1,Round of 32
2021,Illinois,1228,1,1,1-1,Round of 32
2022,Illinois,1228,4,1,1-1,Round of 32
2023,Illinois,1228,9,0,0-1,R64 Exit
2024,Illinois,1228,3,3,3-1,Elite Eight
2025,Illinois,1228,6,1,1-1,Round of 32
2003,Indiana,1231,7,1,1-1,Round of 32
2006,Indiana,1231,6,1,1-1,Round of 32
2007,Indiana,1231,7,1,1-1,Round of 32
2008,Indiana,1231,8,0,0-1,R64 Exit
2012,Indiana,1231,4,2,2-1,Sweet 16
2013,Indiana,1231,1,2,2-1,Sweet 16
2015,Indiana,1231,10,0,0-1,R64 Exit
2016,Indiana,1231,5,2,2-1,Sweet 16
2022,Indiana,1231,12,1,1-1,Round of 32
2023,Indiana,1231,4,1,1-1,Round of 32
2011,Indiana St,1232,14,0,0-1,R64 Exit
2006,Iona,1233,13,0,0-1,R64 Exit
2012,Iona,1233,14,0,0-1,R64 Exit
2013,Iona,1233,15,0,0-1,R64 Exit
2016,Iona,1233,13,0,0-1,R64 Exit
2017,Iona,1233,14,0,0-1,R64 Exit
2018,Iona,1233,15,0,0-1,R64 Exit
2019,Iona,1233,16,0,0-1,R64 Exit
2021,Iona,1233,15,0,0-1,R64 Exit
2023,Iona,1233,13,0,0-1,R64 Exit
2005,Iowa,1234,10,0,0-1,R64 Exit
2006,Iowa,1234,3,0,0-1,R64 Exit
2014,Iowa,1234,11,0,0-1,R64 Exit
2015,Iowa,1234,7,1,1-1,Round of 32
2016,Iowa,1234,7,1,1-1,Round of 32
2019,Iowa,1234,10,1,1-1,Round of 32
2021,Iowa,1234,2,1,1-1,Round of 32
2022,Iowa,1234,5,0,0-1,R64 Exit
2023,Iowa,1234,8,0,0-1,R64 Exit
2005,Iowa St,1235,9,1,1-1,Round of 32
2012,Iowa St,1235,8,1,1-1,Round of 32
2013,Iowa St,1235,10,1,1-1,Round of 32
2014,Iowa St,1235,3,2,2-1,Sweet 16
2015,Iowa St,1235,3,0,0-1,R64 Exit
2016,Iowa St,1235,4,2,2-1,Sweet 16
2017,Iowa St,1235,5,1,1-1,Round of 32
2019,Iowa St,1235,6,0,0-1,R64 Exit
2022,Iowa St,1235,11,2,2-1,Sweet 16
2023,Iowa St,1235,6,0,0-1,R64 Exit
2024,Iowa St,1235,2,2,2-1,Sweet 16
2025,Iowa St,1235,3,1,1-1,Round of 32
2007,Jackson St,1238,16,0,0-1,R64 Exit
2017,Jacksonville St,1240,15,0,0-1,R64 Exit
2022,Jacksonville St,1240,15,0,0-1,R64 Exit
2013,James Madison,1241,16,1,1-1,Round of 32
2024,James Madison,1241,12,1,1-1,Round of 32
2003,Kansas,1242,2,5,5-1,NCG
2004,Kansas,1242,4,3,3-1,Elite Eight
2005,Kansas,1242,3,0,0-1,R64 Exit
2006,Kansas,1242,4,0,0-1,R64 Exit
2007,Kansas,1242,1,3,3-1,Elite Eight
2008,Kansas,1242,1,6,6-0,Champion
2009,Kansas,1242,3,2,2-1,Sweet 16
2010,Kansas,1242,1,1,1-1,Round of 32
2011,Kansas,1242,1,3,3-1,Elite Eight
2012,Kansas,1242,2,5,5-1,NCG
2013,Kansas,1242,1,2,2-1,Sweet 16
2014,Kansas,1242,2,1,1-1,Round of 32
2015,Kansas,1242,2,1,1-1,Round of 32
2016,Kansas,1242,1,3,3-1,Elite Eight
2017,Kansas,1242,1,3,3-1,Elite Eight
2018,Kansas,1242,1,4,4-1,Final Four
2019,Kansas,1242,4,1,1-1,Round of 32
2021,Kansas,1242,3,1,1-1,Round of 32
2022,Kansas,1242,1,6,6-0,Champion
2023,Kansas,1242,1,1,1-1,Round of 32
2024,Kansas,1242,4,1,1-1,Round of 32
2025,Kansas,1242,7,0,0-1,R64 Exit
2008,Kansas St,1243,11,1,1-1,Round of 32
2010,Kansas St,1243,2,3,3-1,Elite Eight
2011,Kansas St,1243,5,1,1-1,Round of 32
2012,Kansas St,1243,8,1,1-1,Round of 32
2013,Kansas St,1243,4,0,0-1,R64 Exit
2014,Kansas St,1243,9,0,0-1,R64 Exit
2017,Kansas St,1243,11,1,1-1,Round of 32
2018,Kansas St,1243,9,3,3-1,Elite Eight
2019,Kansas St,1243,4,0,0-1,R64 Exit
2023,Kansas St,1243,3,3,3-1,Elite Eight
2023,Kennesaw,1244,14,0,0-1,R64 Exit
2006,Kent,1245,12,0,0-1,R64 Exit
2008,Kent,1245,9,0,0-1,R64 Exit
2017,Kent,1245,14,0,0-1,R64 Exit
2023,Kent,1245,13,0,0-1,R64 Exit
2003,Kentucky,1246,1,3,3-1,Elite Eight
2004,Kentucky,1246,1,1,1-1,Round of 32
2005,Kentucky,1246,2,3,3-1,Elite Eight
2006,Kentucky,1246,8,1,1-1,Round of 32
2007,Kentucky,1246,8,1,1-1,Round of 32
2008,Kentucky,1246,11,0,0-1,R64 Exit
2010,Kentucky,1246,1,3,3-1,Elite Eight
2011,Kentucky,1246,4,4,4-1,Final Four
2012,Kentucky,1246,1,6,6-0,Champion
2014,Kentucky,1246,8,5,5-1,NCG
2015,Kentucky,1246,1,4,4-1,Final Four
2016,Kentucky,1246,4,1,1-1,Round of 32
2017,Kentucky,1246,2,3,3-1,Elite Eight
